
 SWASH is preparing computation

+SWASH is processing output request    1
[  0%]   step 1
[  0%]   step 2
[  0%]   step 3
[  0%]   step 4
[  0%]   step 5
[  1%]   step 6
[  1%]   step 7
[  1%]   step 8
[  1%]   step 9
[  1%]   step 10
[  1%]   step 11
[  1%]   step 12
[  1%]   step 13
[  1%]   step 14
[  1%]   step 15
[  1%]   step 16
[  1%]   step 17
[  2%]   step 18
[  2%]   step 19
[  2%]   step 20
[  2%]   step 21
[  2%]   step 22
[  2%]   step 23
[  2%]   step 24
[  3%]   step 25
[  3%]   step 26
[  3%]   step 27
[  3%]   step 28
[  3%]   step 29
[  3%]   step 30
+SWASH is processing output request    1
[  4%]   step 31
[  4%]   step 32
[  4%]   step 33
[  4%]   step 34
[  4%]   step 35
[  4%]   step 36
[  5%]   step 37
[  5%]   step 38
[  5%]   step 39
[  5%]   step 40
[  5%]   step 41
[  5%]   step 42
[  6%]   step 43
[  6%]   step 44
[  6%]   step 45
[  6%]   step 46
[  6%]   step 47
[  6%]   step 48
[  7%]   step 49
[  7%]   step 50
+SWASH is processing output request    1
[  7%]   step 51
[  7%]   step 52
[  7%]   step 53
[  7%]   step 54
[  8%]   step 55
[  8%]   step 56
[  8%]   step 57
[  8%]   step 58
[  8%]   step 59
[  8%]   step 60
[  8%]   step 61
[  9%]   step 62
[  9%]   step 63
[  9%]   step 64
[  9%]   step 65
[  9%]   step 66
[  9%]   step 67
[ 10%]   step 68
[ 10%]   step 69
[ 10%]   step 70
+SWASH is processing output request    1
[ 10%]   step 71
[ 10%]   step 72
[ 10%]   step 73
[ 11%]   step 74
[ 11%]   step 75
[ 11%]   step 76
[ 11%]   step 77
[ 11%]   step 78
[ 11%]   step 79
[ 12%]   step 80
[ 12%]   step 81
[ 12%]   step 82
[ 12%]   step 83
[ 12%]   step 84
[ 12%]   step 85
[ 13%]   step 86
[ 13%]   step 87
[ 13%]   step 88
[ 13%]   step 89
[ 13%]   step 90
+SWASH is processing output request    1
[ 13%]   step 91
[ 14%]   step 92
[ 14%]   step 93
[ 14%]   step 94
[ 14%]   step 95
